"","Estimate","Stock","LL","UL","Param"
"1",345,"Artlish",154,776,"SMSY"
"2",533,"Bedwell/Ursus",249,1142,"SMSY"
"3",379,"Burman",170,842,"SMSY"
"4",270,"Cayeghle",117,626,"SMSY"
"5",111,"Conuma",43,287,"SMSY"
"6",215,"Cypre",90,512,"SMSY"
"7",4317,"Gold",2323,8023,"SMSY"
"8",539,"Kaouk",252,1154,"SMSY"
"9",584,"Leiner",275,1241,"SMSY"
"10",885,"Marble",434,1805,"SMSY"
"11",1282,"Megin",648,2536,"SMSY"
"12",618,"Moyeha",293,1304,"SMSY"
"13",230,"Nahmint",97,542,"SMSY"
"14",1844,"Nitinat",956,3555,"SMSY"
"15",3124,"San Juan",1664,5863,"SMSY"
"16",454,"Sarita",208,990,"SMSY"
"17",5296,"Somass",2860,9806,"SMSY"
"18",416,"Tahsis",189,915,"SMSY"
"19",908,"Tahsish",446,1848,"SMSY"
"20",70,"Tranquil",25,193,"SMSY"
"21",1020,"Zeballos",506,2055,"SMSY"
"22",5908,"Barkley",3194,10927,"SMSY"
"23",2618,"Clayoquot",1384,4952,"SMSY"
"24",1740,"Kyuquot",899,3368,"SMSY"
"25",6601,"Nootka/Esperanza",3571,12204,"SMSY"
"26",1138,"Quatsino",570,2271,"SMSY"
"27",971,"Artlish",416,2266,"SREP"
"28",1491,"Bedwell/Ursus",672,3310,"SREP"
"29",1064,"Burman",461,2456,"SREP"
"30",763,"Cayeghle",317,1835,"SREP"
"31",316,"Conuma",116,856,"SREP"
"32",608,"Cypre",246,1507,"SREP"
"33",11786,"Gold",6163,22540,"SREP"
"34",1508,"Kaouk",680,3343,"SREP"
"35",1633,"Leiner",743,3590,"SREP"
"36",2462,"Marble",1168,5189,"SREP"
"37",3551,"Megin",1740,7247,"SREP"
"38",1726,"Moyeha",790,3770,"SREP"
"39",649,"Nahmint",264,1593,"SREP"
"40",5084,"Nitinat",2558,10105,"SREP"
"41",8559,"San Juan",4429,16542,"SREP"
"42",1272,"Sarita",563,2876,"SREP"
"43",14423,"Somass",7571,27477,"SREP"
"44",1166,"Tahsis",511,2663,"SREP"
"45",2525,"Tahsish",1200,5309,"SREP"
"46",200,"Tranquil",69,579,"SREP"
"47",2832,"Zeballos",1361,5893,"SREP"
"48",16069,"Barkley",8444,30578,"SREP"
"49",7189,"Clayoquot",3690,14004,"SREP"
"50",4802,"Kyuquot",2407,9581,"SREP"
"51",17931,"Nootka/Esperanza",9428,34105,"SREP"
"52",3155,"Quatsino",1531,6503,"SREP"
