"","Stock","SGEN","SMSY","SMSYLL","SMSYUL","SREP","SREPLL","SREPUL","a.par"
"1","Artlish",188,420,154,776,971,416,2266,2.72
"2","Bedwell/Ursus",288,645,249,1142,1491,672,3310,2.72
"3","Burman",206,461,170,842,1064,461,2456,2.72
"4","Cayeghle",147,330,117,626,763,317,1835,2.72
"5","Conuma",61,137,43,287,316,116,856,2.72
"6","Gold",2277,5102,2323,8023,11786,6163,22540,2.72
"7","Kaouk",291,653,252,1154,1508,680,3343,2.72
"8","Leiner",315,707,275,1241,1633,743,3590,2.72
"9","Marble",476,1066,434,1805,2462,1168,5189,2.72
"10","Megin",686,1537,648,2536,3551,1740,7247,2.72
"11","Moyeha",333,747,293,1304,1726,790,3770,2.72
"12","Nahmint",125,281,97,542,649,264,1593,2.72
"13","Nitinat",982,2201,956,3555,5084,2558,10105,2.72
"14","San Juan",1653,3705,1664,5863,8559,4429,16542,2.72
"15","Sarita",246,551,208,990,1272,563,2876,2.72
"16","Somass",2786,6243,2860,9806,14423,7571,27477,2.72
"17","Tahsis",225,505,189,915,1166,511,2663,2.72
"18","Tahsish",488,1093,446,1848,2525,1200,5309,2.72
"19","Tranquil",39,87,25,193,200,69,579,2.72
"20","Zeballos",547,1226,506,2055,2832,1361,5893,2.72
"21","Barkley",125,281,97,542,649,264,1593,2.72
"22","Clayoquot",1389,3112,1384,4952,7189,3690,14004,2.72
"23","Kyuquot",928,2079,899,3368,4802,2407,9581,2.72
"24","Nootka/Esperanza",2473,5541,2530,8707,12800,6705,24435,2.72
"25","Quatsino",609,1366,570,2271,3155,1531,6503,2.72
"26","WCVI Nootka & Kyuquot",3322,7443,3422,11698,17195,9040,32708,2.72
"27","WCVI North",609,1366,570,2271,3155,1531,6503,2.72
"28","WCVI South",1497,3355,1499,5325,7751,3993,15045,2.72
